,原字,前加字,上加字,基字,下加字,再下加字,元音,后加字,再后加字
0,འི,,,འ,,,ི,,
1,དང,,,ད,,,,ང,
2,དེ,,,ད,,,ེ,,
3,པར,,,པ,,,,ར,
4,དུ,,,ད,,,ུ,,
5,ནས,,,ན,,,,ས,
6,ནི,,,ན,,,ི,,
7,ལས,,,ལ,,,,ས,
8,པོ,,,པ,,,ོ,,
9,མི,,,མ,,,ི,,
10,གི,,,ག,,,ི,,
11,བྱ,,,བ,ྱ,,,,
12,བར,,,བ,,,,ར,
13,ཡང,,,ཡ,,,,ང,
14,པས,,,པ,,,,ས,
15,སུ,,,ས,,,ུ,,
16,ཏེ,,,ཏ,,,ེ,,
17,རང,,,ར,,,,ང,
18,དག,,,ད,,,,ག,
19,ལོ,,,ལ,,,ོ,,
20,ཏུ,,,ཏ,,,ུ,,
21,འོ,,,འ,,,ོ,,
22,བུ,,,བ,,,ུ,,
23,མོ,,,མ,,,ོ,,
24,ཅན,,,ཅ,,,,ན,
25,གང,,,ག,,,,ང,
26,སོ,,,ས,,,ོ,,
27,ལྟ,,ལ,ཏ,,,,,
28,ལམ,,,ལ,,,,མ,
29,བོ,,,བ,,,ོ,,
30,ནང,,,ན,,,,ང,
31,ཆེ,,,ཆ,,,ེ,,
32,མང,,,མ,,,,ང,
33,ཁང,,,ཁ,,,,ང,
34,བས,,,བ,,,,ས,
35,ལྷ,,ལ,ཧ,,,,,
36,ཚད,,,ཚ,,,,ད,
37,ཡི,,,ཡ,,,ི,,
38,གོ,,,ག,,,ོ,,
39,ལག,,,ལ,,,,ག,
40,ཅད,,,ཅ,,,,ད,
41,རབ,,,ར,,,,བ,
42,ཆུ,,,ཆ,,,ུ,,
43,ཚེ,,,ཚ,,,ེ,,
44,དམ,,,ད,,,,མ,
45,རེ,,,ར,,,ེ,,
46,ངོ,,,ང,,,ོ,,
47,རྩ,,ར,ཙ,,,,,
48,ཙམ,,,ཙ,,,,མ,
49,ཟླ,,,ཟ,ླ,,,,
50,རོ,,,ར,,,ོ,,
51,དོ,,,ད,,,ོ,,
52,ལྔ,,ལ,ང,,,,,
53,རུ,,,ར,,,ུ,,
54,རི,,,ར,,,ི,,
55,མེ,,,མ,,,ེ,,
56,ཅི,,,ཅ,,,ི,,
57,ནོ,,,ན,,,ོ,,
58,སྣ,,ས,ན,,,,,
59,ཚང,,,ཚ,,,,ང,
60,ཇི,,,ཇ,,,ི,,
61,བླ,,,བ,ླ,,,,
62,ཁོ,,,ཁ,,,ོ,,
63,མར,,,མ,,,,ར,
64,ཁག,,,ཁ,,,,ག,
65,འང,,,འ,,,,ང,
66,ཚོ,,,ཚ,,,ོ,,
67,ཕན,,,ཕ,,,,ན,
68,ནད,,,ན,,,,ད,
69,ཡེ,,,ཡ,,,ེ,,
70,ཚན,,,ཚ,,,,ན,
71,ཐང,,,ཐ,,,,ང,
72,ཟད,,,ཟ,,,,ད,
73,ཏང,,,ཏ,,,,ང,
74,ཞུ,,,ཞ,,,ུ,,
75,ཉི,,,ཉ,,,ི,,
76,ནམ,,,ན,,,,མ,
77,ཞི,,,ཞ,,,ི,,
78,ཉེ,,,ཉ,,,ེ,,
79,ངག,,,ང,,,,ག,
80,གལ,,,ག,,,,ལ,
81,ཐག,,,ཐ,,,,ག,
82,སྔ,,ས,ང,,,,,
83,གེ,,,ག,,,ེ,,
84,ཆད,,,ཆ,,,,ད,
85,དྲ,,,ད,ྲ,,,,
86,ཁབ,,,ཁ,,,,བ,
87,དར,,,ད,,,,ར,
88,ཞེ,,,ཞ,,,ེ,,
89,ཨུ,,,ཨ,,,ུ,,
90,ངན,,,ང,,,,ན,
91,ནག,,,ན,,,,ག,
92,འམ,,,འ,,,,མ,
93,ཏན,,,ཏ,,,,ན,
94,ཤར,,,ཤ,,,,ར,
95,ཡན,,,ཡ,,,,ན,
96,ངང,,,ང,,,,ང,
97,ལན,,,ལ,,,,ན,
98,ཐད,,,ཐ,,,,ད,
99,གར,,,ག,,,,ར,
100,དད,,,ད,,,,ད,
101,ཐལ,,,ཐ,,,,ལ,
102,ཟབ,,,ཟ,,,,བ,
103,སི,,,ས,,,ི,,
104,ཞལ,,,ཞ,,,,ལ,
105,རྟ,,ར,ཏ,,,,,
106,ཐར,,,ཐ,,,,ར,
107,མས,,,མ,,,,ས,
108,ཁེ,,,ཁ,,,ེ,,
109,ལེ,,,ལ,,,ེ,,
110,ཕོ,,,ཕ,,,ོ,,
111,སར,,,ས,,,,ར,
112,མུ,,,མ,,,ུ,,
113,ནན,,,ན,,,,ན,
114,ཇེ,,,ཇ,,,ེ,,
115,ཆས,,,ཆ,,,,ས,
116,ཏོ,,,ཏ,,,ོ,,
117,ལི,,,ལ,,,ི,,
118,ཆར,,,ཆ,,,,ར,
119,གུ,,,ག,,,ུ,,
120,ཉན,,,ཉ,,,,ན,
121,ཅང,,,ཅ,,,,ང,
122,ཟག,,,ཟ,,,,ག,
123,ཟས,,,ཟ,,,,ས,
124,ཐོ,,,ཐ,,,ོ,,
125,ཅུ,,,ཅ,,,ུ,,
126,ཡར,,,ཡ,,,,ར,
127,ཤས,,,ཤ,,,,ས,
128,ཆབ,,,ཆ,,,,བ,
129,ངས,,,ང,,,,ས,
130,ཕྲ,,,ཕ,ྲ,,,,
131,ཏི,,,ཏ,,,ི,,
132,ངལ,,,ང,,,,ལ,
133,ཨང,,,ཨ,,,,ང,
134,ཡག,,,ཡ,,,,ག,
135,ཁས,,,ཁ,,,,ས,
136,མན,,,མ,,,,ན,
137,ཆོ,,,ཆ,,,ོ,,
138,བག,,,བ,,,,ག,
139,ཁུ,,,ཁ,,,ུ,,
140,ཤང,,,ཤ,,,,ང,
141,ནུ,,,ན,,,ུ,,
142,ཤུ,,,ཤ,,,ུ,,
143,ཤི,,,ཤ,,,ི,,
144,ཡས,,,ཡ,,,,ས,
145,ངེ,,,ང,,,ེ,,
146,ཨེ,,,ཨ,,,ེ,,
147,ཧྭ,,,ཧ,ྭ,,,,
148,བབ,,,བ,,,,བ,
149,ཚལ,,,ཚ,,,,ལ,
150,རྨ,,ར,མ,,,,,
151,སམ,,,ས,,,,མ,
152,པེ,,,པ,,,ེ,,
153,ཡབ,,,ཡ,,,,བ,
154,ཕལ,,,ཕ,,,,ལ,
155,ཀར,,,ཀ,,,,ར,
156,མྱ,,,མ,ྱ,,,,
157,ཆང,,,ཆ,,,,ང,
158,རས,,,ར,,,,ས,
159,ཡོ,,,ཡ,,,ོ,,
160,ཕབ,,,ཕ,,,,བ,
161,ཞག,,,ཞ,,,,ག,
162,ཚབ,,,ཚ,,,,བ,
163,ཀན,,,ཀ,,,,ན,
164,ཐེ,,,ཐ,,,ེ,,
165,པུ,,,པ,,,ུ,,
166,ཅག,,,ཅ,,,,ག,
167,རམ,,,ར,,,,མ,
168,ཆག,,,ཆ,,,,ག,
169,ཞང,,,ཞ,,,,ང,
170,ཁར,,,ཁ,,,,ར,
171,པད,,,པ,,,,ད,
172,ཇོ,,,ཇ,,,ོ,,
173,རྔ,,ར,ང,,,,,
174,ཧེ,,,ཧ,,,ེ,,
175,སེ,,,ས,,,ེ,,
176,ཟི,,,ཟ,,,ི,,
177,ལང,,,ལ,,,,ང,
