,原字,前加字,上加字,基字,下加字,再下加字,元音,后加字,再后加字
0,བྱེད,,,བ,ྱ,,ེ,ད,
1,སོགས,,,ས,,,ོ,ག,ས
2,གཉིས,ག,,ཉ,,,ི,ས,
3,ཚོགས,,,ཚ,,,ོ,ག,ས
4,བཞིན,བ,,ཞ,,,ི,ན,
5,རྣམས,,ར,ན,,,,མ,ས
6,རྒྱལ,,ར,ག,ྱ,,,ལ,
7,ཀྱིས,,,ཀ,ྱ,,ི,ས,
8,གསུམ,ག,,ས,,,ུ,མ,
9,གྱིས,,,ག,ྱ,,ི,ས,
10,སེམས,,,ས,,,ེ,མ,ས
11,ཕྱིར,,,ཕ,ྱ,,ི,ར,
12,རིགས,,,ར,,,ི,ག,ས
13,གཅིག,ག,,ཅ,,,ི,ག,
14,རྒྱུ,,ར,ག,ྱ,,ུ,,
15,བྱུང,,,བ,ྱ,,ུ,ང,
16,སློབ,,,ས,ླ,,ོ,བ,
17,རྒྱས,,ར,ག,ྱ,,,ས,
18,དགོས,ད,,ག,,,ོ,ས,
19,འཛིན,འ,,ཛ,,,ི,ན,
20,སྤྱི,,ས,པ,ྱ,,ི,,
21,འཁོར,འ,,ཁ,,,ོ,ར,
22,བསྟན,བ,ས,ཏ,,,,ན,
23,གྲོང,,,ག,ྲ,,ོ,ང,
24,སྲིད,,,ས,ྲ,,ི,ད,
25,དངོས,ད,,ང,,,ོ,ས,
26,གྱུར,,,ག,ྱ,,ུ,ར,
27,སྔོན,,ས,ང,,,ོ,ན,
28,ཡོངས,,,ཡ,,,ོ,ང,ས
29,གྲུབ,,,ག,ྲ,,ུ,བ,
30,འགྲོ,འ,,ག,ྲ,,ོ,,
31,རྗེས,,ར,ཇ,,,ེ,ས,
32,སྐབས,,ས,ཀ,,,,བ,ས
33,གཏོང,ག,,ཏ,,,ོ,ང,
34,འདོད,འ,,ད,,,ོ,ད,
35,སྟོན,,ས,ཏ,,,ོ,ན,
36,ལེགས,,,ལ,,,ེ,ག,ས
37,ལུགས,,,ལ,,,ུ,ག,ས
38,རྟེན,,ར,ཏ,,,ེ,ན,
39,སྐྱེ,,ས,ཀ,ྱ,,ེ,,
40,མངོན,མ,,ང,,,ོ,ན,
41,འཇུག,འ,,ཇ,,,ུ,ག,
42,སྟོང,,ས,ཏ,,,ོ,ང,
43,ཀྲུང,,,ཀ,ྲ,,ུ,ང,
44,གཞུང,ག,,ཞ,,,ུ,ང,
45,སྤེལ,,ས,པ,,,ེ,ལ,
46,སྐོར,,ས,ཀ,,,ོ,ར,
47,མཐུན,མ,,ཐ,,,ུ,ན,
48,མཐོང,མ,,ཐ,,,ོ,ང,
49,འབྲས,འ,,བ,ྲ,,,ས,
50,འཕེལ,འ,,ཕ,,,ེ,ལ,
51,དམངས,ད,,མ,,,,ང,ས
52,རྩོམ,,ར,ཙ,,,ོ,མ,
53,མཆོག,མ,,ཆ,,,ོ,ག,
54,བཅོས,བ,,ཅ,,,ོ,ས,
55,དྲུག,,,ད,ྲ,,ུ,ག,
56,སྙིང,,ས,ཉ,,,ི,ང,
57,རྫོང,,ར,ཛ,,,ོ,ང,
58,གྲངས,,,ག,ྲ,,,ང,ས
59,ཤུགས,,,ཤ,,,ུ,ག,ས
60,ཁྱེར,,,ཁ,ྱ,,ེ,ར,
61,ཞུགས,,,ཞ,,,ུ,ག,ས
62,ཕྱིན,,,ཕ,ྱ,,ི,ན,
63,གླིང,,,ག,ླ,,ི,ང,
64,སྲུང,,,ས,ྲ,,ུ,ང,
65,བཀོད,བ,,ཀ,,,ོ,ད,
66,རྟོག,,ར,ཏ,,,ོ,ག,
67,དབུལ,ད,,བ,,,ུ,ལ,
68,སྐུལ,,ས,ཀ,,,ུ,ལ,
69,མཆོད,མ,,ཆ,,,ོ,ད,
70,འཇིག,འ,,ཇ,,,ི,ག,
71,འདུག,འ,,ད,,,ུ,ག,
72,དངུལ,ད,,ང,,,ུ,ལ,
73,ཁྲིད,,,ཁ,ྲ,,ི,ད,
74,ཐུགས,,,ཐ,,,ུ,ག,ས
75,འདིར,འ,,ད,,,ི,ར,
76,ཁྱོད,,,ཁ,ྱ,,ོ,ད,
77,བཟུང,བ,,ཟ,,,ུ,ང,
78,གསུང,ག,,ས,,,ུ,ང,
79,གྲོས,,,ག,ྲ,,ོ,ས,
80,སྟེང,,ས,ཏ,,,ེ,ང,
81,རླུང,,,,,,,,
82,བརྒྱ,,,,,,,,
83,དཔོན,ད,,པ,,,ོ,ན,
84,བདུན,བ,,ད,,,ུ,ན,
85,སྡུག,,ས,ད,,,ུ,ག,
86,རྟགས,,ར,ཏ,,,,ག,ས
87,ཁྱིམ,,,ཁ,ྱ,,ི,མ,
88,བརྟན,བ,ར,ཏ,,,,ན,
89,གྲགས,,,ག,ྲ,,,ག,ས
90,སྔགས,,ས,ང,,,,ག,ས
91,བཅོམ,བ,,ཅ,,,ོ,མ,
92,གསོལ,ག,,ས,,,ོ,ལ,
93,མཚོན,མ,,ཚ,,,ོ,ན,
94,སྒོར,,ས,ག,,,ོ,ར,
95,ཁྲོད,,,ཁ,ྲ,,ོ,ད,
96,བྱིན,,,བ,ྱ,,ི,ན,
97,དཔྱད,ད,,པ,ྱ,,,ད,
98,སྲོལ,,,ས,ྲ,,ོ,ལ,
99,གནོད,ག,,ན,,,ོ,ད,
100,སྦྱར,,ས,བ,ྱ,,,ར,
101,ཁུངས,,,ཁ,,,ུ,ང,ས
102,བདེན,བ,,ད,,,ེ,ན,
103,འདུས,འ,,ད,,,ུ,ས,
104,གློག,,,ག,ླ,,ོ,ག,
105,འགོག,འ,,ག,,,ོ,ག,
106,བརྙན,བ,ར,ཉ,,,,ན,
107,མཚམས,མ,,ཚ,,,,མ,ས
108,འགོད,འ,,ག,,,ོ,ད,
109,དབྱེ,ད,,བ,ྱ,,ེ,,
110,ཐེངས,,,ཐ,,,ེ,ང,ས
111,རོགས,,,ར,,,ོ,ག,ས
112,སློང,,,ས,ླ,,ོ,ང,
113,མཛེས,མ,,ཛ,,,ེ,ས,
114,གཅོད,ག,,ཅ,,,ོ,ད,
115,རྒྱན,,ར,ག,ྱ,,,ན,
116,མཛོད,མ,,ཛ,,,ོ,ད,
117,འཕགས,འ,,ཕ,,,,ག,ས
118,འཇོག,འ,,ཇ,,,ོ,ག,
119,ཚིགས,,,ཚ,,,ི,ག,ས
120,འདོན,འ,,ད,,,ོ,ན,
121,གཉེར,ག,,ཉ,,,ེ,ར,
122,སྡོད,,ས,ད,,,ོ,ད,
123,མྱོང,,,མ,ྱ,,ོ,ང,
124,སྲོག,,,ས,ྲ,,ོ,ག,
125,གཞོན,ག,,ཞ,,,ོ,ན,
126,འབུམ,འ,,བ,,,ུ,མ,
127,འདུན,འ,,ད,,,ུ,ན,
128,བླངས,,,བ,ླ,,,ང,ས
129,གསེར,ག,,ས,,,ེ,ར,
130,སྒྱུ,,ས,ག,ྱ,,ུ,,
131,འདེད,འ,,ད,,,ེ,ད,
132,ཁོངས,,,ཁ,,,ོ,ང,ས
133,བདུད,བ,,ད,,,ུ,ད,
134,བསྔལ,བ,ས,ང,,,,ལ,
135,རྩིས,,ར,ཙ,,,ི,ས,
136,བསྟར,བ,ས,ཏ,,,,ར,
137,དབུས,ད,,བ,,,ུ,ས,
138,དཔེར,ད,,པ,,,ེ,ར,
139,དགོན,ད,,ག,,,ོ,ན,
140,གྲོལ,,,ག,ྲ,,ོ,ལ,
141,ཁྱེད,,,ཁ,ྱ,,ེ,ད,
142,བསྡུ,བ,ས,ད,,,ུ,,
143,ལྡོག,,ལ,ད,,,ོ,ག,
144,ཕྱུག,,,ཕ,ྱ,,ུ,ག,
145,གཉེན,ག,,ཉ,,,ེ,ན,
146,མྱུར,,,མ,ྱ,,ུ,ར,
147,མདུན,མ,,ད,,,ུ,ན,
148,བྲིས,,,བ,ྲ,,ི,ས,
149,འཐུས,འ,,ཐ,,,ུ,ས,
150,སྡོམ,,ས,ད,,,ོ,མ,
151,དབྱང,ད,,བ,ྱ,,,ང,
152,ལྕགས,,ལ,ཅ,,,,ག,ས
153,འགྲན,འ,,ག,ྲ,,,ན,
154,སྨིན,,ས,མ,,,ི,ན,
155,བཙུན,བ,,ཙ,,,ུ,ན,
156,རྒྱབ,,ར,ག,ྱ,,,བ,
157,བསོད,བ,,ས,,,ོ,ད,
158,སྒོམ,,ས,ག,,,ོ,མ,
159,བཏགས,བ,,ཏ,,,,ག,ས
160,མཇུག,མ,,ཇ,,,ུ,ག,
161,འཇགས,འ,,ཇ,,,,ག,ས
162,ཕྲེང,,,ཕ,ྲ,,ེ,ང,
163,འགུལ,འ,,ག,,,ུ,ལ,
164,ཚུགས,,,ཚ,,,ུ,ག,ས
165,གླེང,,,ག,ླ,,ེ,ང,
166,མོངས,,,མ,,,ོ,ང,ས
167,ལོངས,,,ལ,,,ོ,ང,ས
168,ཕེབས,,,ཕ,,,ེ,བ,ས
169,ཁྱོན,,,ཁ,ྱ,,ོ,ན,
170,གཏོར,ག,,ཏ,,,ོ,ར,
171,སྤྱན,,ས,པ,ྱ,,,ན,
172,སྨོན,,ས,མ,,,ོ,ན,
173,གཏོད,ག,,ཏ,,,ོ,ད,
174,མགོན,མ,,ག,,,ོ,ན,
175,སྣོན,,ས,ན,,,ོ,ན,
176,སྤྱད,,ས,པ,ྱ,,,ད,
177,འབྲི,འ,,བ,ྲ,,ི,,
178,བརྟག,བ,ར,ཏ,,,,ག,
179,བྱིས,,,བ,ྱ,,ི,ས,
180,སྣོད,,ས,ན,,,ོ,ད,
181,རྙེད,,ར,ཉ,,,ེ,ད,
182,སྨྲས,,ས,མ,ྲ,,,ས,
183,དྲིལ,,,ད,ྲ,,ི,ལ,
184,གཡོན,ག,,ཡ,,,ོ,ན,
185,མཐུད,མ,,ཐ,,,ུ,ད,
186,སྟོད,,ས,ཏ,,,ོ,ད,
187,རྙིང,,ར,ཉ,,,ི,ང,
188,རླབས,,,,,,,,
189,སྤངས,,ས,པ,,,,ང,ས
190,རྩོད,,ར,ཙ,,,ོ,ད,
191,འབུལ,འ,,བ,,,ུ,ལ,
192,སྟངས,,ས,ཏ,,,,ང,ས
193,གཏེར,ག,,ཏ,,,ེ,ར,
194,རྡུལ,,ར,ད,,,ུ,ལ,
195,ཕྱེད,,,ཕ,ྱ,,ེ,ད,
196,བརྩེ,བ,ར,ཙ,,,ེ,,
197,སྤྲོ,,ས,པ,ྲ,,ོ,,
198,ཐོགས,,,ཐ,,,ོ,ག,ས
199,ཕྱུར,,,ཕ,ྱ,,ུ,ར,
200,འདུལ,འ,,ད,,,ུ,ལ,
201,བཏོན,བ,,ཏ,,,ོ,ན,
202,དྲངས,,,ད,ྲ,,,ང,ས
203,བྱོན,,,བ,ྱ,,ོ,ན,
204,བསླབ,བ,,ས,ླ,,,བ,
205,དྲུང,,,ད,ྲ,,ུ,ང,
206,མདོག,མ,,ད,,,ོ,ག,
207,བྱམས,,,བ,ྱ,,,མ,ས
208,དཔུང,ད,,པ,,,ུ,ང,
209,གསེབ,ག,,ས,,,ེ,བ,
210,རྒྱག,,ར,ག,ྱ,,,ག,
211,འབྲུ,འ,,བ,ྲ,,ུ,,
212,བཤེར,བ,,ཤ,,,ེ,ར,
213,སྟབས,,ས,ཏ,,,,བ,ས
214,གཤིས,ག,,ཤ,,,ི,ས,
215,བཅུད,བ,,ཅ,,,ུ,ད,
216,འདིས,འ,,ད,,,ི,ས,
217,འོངས,,,འ,,,ོ,ང,ས
218,ཐེབས,,,ཐ,,,ེ,བ,ས
219,མདོར,མ,,ད,,,ོ,ར,
220,གཟུང,ག,,ཟ,,,ུ,ང,
221,ལེའུ,,,,,,,,
222,གཙུག,ག,,ཙ,,,ུ,ག,
223,འཁྲབ,འ,,ཁ,ྲ,,,བ,
224,འདྲི,འ,,ད,ྲ,,ི,,
225,ལྟུང,,ལ,ཏ,,,ུ,ང,
226,གཏིང,ག,,ཏ,,,ི,ང,
227,བཟོད,བ,,ཟ,,,ོ,ད,
228,རླངས,,,,,,,,
229,དཀོན,ད,,ཀ,,,ོ,ན,
230,གཞིས,ག,,ཞ,,,ི,ས,
231,བཅུག,བ,,ཅ,,,ུ,ག,
232,སྡིག,,ས,ད,,,ི,ག,
233,གཞིར,ག,,ཞ,,,ི,ར,
234,བཟོས,བ,,ཟ,,,ོ,ས,
235,གདོང,ག,,ད,,,ོ,ང,
236,ལྟོས,,ལ,ཏ,,,ོ,ས,
237,བལྟས,བ,ལ,ཏ,,,,ས,
238,མཆིས,མ,,ཆ,,,ི,ས,
239,སྤུས,,ས,པ,,,ུ,ས,
240,གདམས,ག,,ད,,,,མ,ས
241,སྨོས,,ས,མ,,,ོ,ས,
242,ཀློག,,,ཀ,ླ,,ོ,ག,
243,གདུང,ག,,ད,,,ུ,ང,
244,ཕྱིས,,,ཕ,ྱ,,ི,ས,
245,སྤོང,,ས,པ,,,ོ,ང,
246,རིམས,,,ར,,,ི,མ,ས
247,འཚོལ,འ,,ཚ,,,ོ,ལ,
248,སྡུད,,ས,ད,,,ུ,ད,
249,མཆེད,མ,,ཆ,,,ེ,ད,
250,དྲིན,,,ད,ྲ,,ི,ན,
251,པུའུ,,,,,,,,
252,བཞེས,བ,,ཞ,,,ེ,ས,
253,རྒྱང,,ར,ག,ྱ,,,ང,
254,བཟླས,བ,,ཟ,ླ,,,ས,
255,བཤེས,བ,,ཤ,,,ེ,ས,
256,ཁྲོན,,,ཁ,ྲ,,ོ,ན,
