,原字,前加字,上加字,基字,下加字,再下加字,元音,后加字,再后加字
0,ཀྱི,,,ཀ,ྱ,,ི,,
1,གྱི,,,ག,ྱ,,ི,,
2,ཡིན,,,ཡ,,,ི,ན,
3,ཡོད,,,ཡ,,,ོ,ད,
4,མེད,,,མ,,,ེ,ད,
5,ཆེན,,,ཆ,,,ེ,ན,
6,ཞེས,,,ཞ,,,ེ,ས,
7,བྱས,,,བ,ྱ,,,ས,
8,དོན,,,ད,,,ོ,ན,
9,གནས,ག,,ན,,,,ས,
10,ཉིད,,,ཉ,,,ི,ད,
11,ཤེས,,,ཤ,,,ེ,ས,
12,འདི,འ,,ད,,,ི,,
13,ཆོས,,,ཆ,,,ོ,ས,
14,རྣམ,,ར,ན,,,,མ,
15,ཞིང,,,ཞ,,,ི,ང,
16,ཞིག,,,ཞ,,,ི,ག,
17,གིས,,,ག,,,ི,ས,
18,བོད,,,བ,,,ོ,ད,
19,ལྟར,,ལ,ཏ,,,,ར,
20,སྟེ,,ས,ཏ,,,ེ,,
21,ལྡན,,ལ,ད,,,,ན,
22,ཀྱང,,,ཀ,ྱ,,,ང,
23,དུས,,,ད,,,ུ,ས,
24,རིག,,,ར,,,ི,ག,
25,དབང,ད,,བ,,,,ང,
26,རྗེ,,ར,ཇ,,,ེ,,
27,གཞན,ག,,ཞ,,,,ན,
28,ཡུལ,,,ཡ,,,ུ,ལ,
29,གཞི,ག,,ཞ,,,ི,,
30,བཅས,བ,,ཅ,,,,ས,
31,བདག,བ,,ད,,,,ག,
32,རྒྱ,,,,,,,,
33,བཤད,བ,,ཤ,,,,ད,
34,གསར,ག,,ས,,,,ར,
35,རེད,,,ར,,,ེ,ད,
36,ཚུལ,,,ཚ,,,ུ,ལ,
37,ཀུན,,,ཀ,,,ུ,ན,
38,བཞི,བ,,ཞ,,,ི,,
39,བདེ,བ,,ད,,,ེ,,
40,ཐམས,,,ཐ,,,,མ,ས
41,རིམ,,,ར,,,ི,མ,
