,原字,前加字,上加字,基字,下加字,再下加字,元音,后加字,再后加字
0,འགྱུར,འ,,ག,ྱ,,ུ,ར,
1,ཕྱོགས,,,ཕ,ྱ,,ོ,ག,ས
2,སྤྱོད,,ས,པ,ྱ,,ོ,ད,
3,གསུངས,ག,,ས,,,ུ,ང,ས
4,འབྲེལ,འ,,བ,ྲ,,ེ,ལ,
5,འབྱུང,འ,,བ,ྱ,,ུ,ང,
6,བརྗོད,བ,ར,ཇ,,,ོ,ད,
7,ལྗོངས,,ལ,ཇ,,,ོ,ང,ས
8,སྐྱོང,,ས,ཀ,ྱ,,ོ,ང,
9,སྒྲིག,,ས,ག,ྲ,,ི,ག,
10,རྒྱུད,,ར,ག,ྱ,,ུ,ད,
11,འབྱོར,འ,,བ,ྱ,,ོ,ར,
12,སྒྲུབ,,ས,ག,ྲ,,ུ,བ,
13,རྒྱུན,,ར,ག,ྱ,,ུ,ན,
14,སྐྱེས,,ས,ཀ,ྱ,,ེ,ས,
15,འཛུགས,འ,,ཛ,,,ུ,ག,ས
16,རྟོགས,,ར,ཏ,,,ོ,ག,ས
17,འཕྲིན,འ,,ཕ,ྲ,,ི,ན,
18,སྦྱོར,,ས,བ,ྱ,,ོ,ར,
19,དམིགས,ད,,མ,,,ི,ག,ས
20,གཟུགས,ག,,ཟ,,,ུ,ག,ས
21,བརྒྱད,བ,ར,ག,ྱ,,,ད,
22,སྐྲུན,,ས,ཀ,ྲ,,ུ,ན,
23,རྫོགས,,ར,ཛ,,,ོ,ག,ས
24,རྐྱེན,,ར,ཀ,ྱ,,ེ,ན,
25,བསྡུས,བ,ས,ད,,,ུ,ས,
26,ཁྲིམས,,,ཁ,ྲ,,ི,མ,ས
27,བརྟེན,བ,ར,ཏ,,,ེ,ན,
28,སྐྱོར,,ས,ཀ,ྱ,,ོ,ར,
29,སྦྱོང,,ས,བ,ྱ,,ོ,ང,
30,གཤེགས,ག,,ཤ,,,ེ,ག,ས
31,སྟོབས,,ས,ཏ,,,ོ,བ,ས
32,རྒྱུས,,ར,ག,ྱ,,ུ,ས,
33,བཞུགས,བ,,ཞ,,,ུ,ག,ས
34,དཀྱིལ,ད,,ཀ,ྱ,,ི,ལ,
35,དགོངས,ད,,ག,,,ོ,ང,ས
36,སྦྱིན,,ས,བ,ྱ,,ི,ན,
37,འགྲེལ,འ,,ག,ྲ,,ེ,ལ,
38,སྐྱེད,,ས,ཀ,ྱ,,ེ,ད,
39,མཁྱེན,མ,,ཁ,ྱ,,ེ,ན,
40,སྐྱོན,,ས,ཀ,ྱ,,ོ,ན,
41,སྤྲོད,,ས,པ,ྲ,,ོ,ད,
42,འབྲོག,འ,,བ,ྲ,,ོ,ག,
43,དབྱངས,ད,,བ,ྱ,,,ང,ས
44,སྐྱིད,,ས,ཀ,ྱ,,ི,ད,
45,མཚུངས,མ,,ཚ,,,ུ,ང,ས
46,འགྲུབ,འ,,ག,ྲ,,ུ,བ,
47,རྒྱུར,,ར,ག,ྱ,,ུ,ར,
48,འདེབས,འ,,ད,,,ེ,བ,ས
49,སྒྲོལ,,ས,ག,ྲ,,ོ,ལ,
50,སྒྱུར,,ས,ག,ྱ,,ུ,ར,
51,འདྲེན,འ,,ད,ྲ,,ེ,ན,
52,བརྩམས,བ,ར,ཙ,,,,མ,ས
53,བརྩོན,བ,ར,ཙ,,,ོ,ན,
54,སྤྲུལ,,ས,པ,ྲ,,ུ,ལ,
55,བསྟེན,བ,ས,ཏ,,,ེ,ན,
56,གཟིགས,ག,,ཟ,,,ི,ག,ས
57,འཇིགས,འ,,ཇ,,,ི,ག,ས
58,གཏོགས,ག,,ཏ,,,ོ,ག,ས
59,བཙུགས,བ,,ཙ,,,ུ,ག,ས
60,བསྒོམ,བ,ས,ག,,,ོ,མ,
61,སྐྱོབ,,ས,ཀ,ྱ,,ོ,བ,
62,སྙོམས,,ས,ཉ,,,ོ,མ,ས
63,འཕྲུལ,འ,,ཕ,ྲ,,ུ,ལ,
64,འབྲིང,འ,,བ,ྲ,,ི,ང,
65,བསྟོད,བ,ས,ཏ,,,ོ,ད,
66,འབྱེད,འ,,བ,ྱ,,ེ,ད,
67,གྲོགས,,,ག,ྲ,,ོ,ག,ས
68,བསྡུར,བ,ས,ད,,,ུ,ར,
69,འཁྲུལ,འ,,ཁ,ྲ,,ུ,ལ,
70,སླེབས,,ས,ལ,,,ེ,བ,ས
71,སྐྱབས,,ས,ཀ,ྱ,,,བ,ས
72,བསྐོར,བ,ས,ཀ,,,ོ,ར,
73,སྒྲོག,,ས,ག,ྲ,,ོ,ག,
74,ཧྲུའུ,,,,,,,,
75,སྐྱོད,,ས,ཀ,ྱ,,ོ,ད,
76,སྟེགས,,ས,ཏ,,,ེ,ག,ས
77,བསྐུར,བ,ས,ཀ,,,ུ,ར,
78,སྤྱིར,,ས,པ,ྱ,,ི,ར,
79,འཕྲོད,འ,,ཕ,ྲ,,ོ,ད,
80,འདེགས,འ,,ད,,,ེ,ག,ས
81,བསྙེན,བ,ས,ཉ,,,ེ,ན,
82,སྐྱེལ,,ས,ཀ,ྱ,,ེ,ལ,
83,འགྲུལ,འ,,ག,ྲ,,ུ,ལ,
84,སྒྲིབ,,ས,ག,ྲ,,ི,བ,
85,སྒྲུང,,ས,ག,ྲ,,ུ,ང,
86,གཞིགས,ག,,ཞ,,,ི,ག,ས
87,བརྒྱབ,བ,ར,ག,ྱ,,,བ,
88,འདྲེས,འ,,ད,ྲ,,ེ,ས,
89,ཀྲུའུ,,,,,,,,
90,སྒྲིལ,,ས,ག,ྲ,,ི,ལ,
91,འབེབས,འ,,བ,,,ེ,བ,ས
92,བསྐྱར,བ,ས,ཀ,ྱ,,,ར,
93,སྒྲོན,,ས,ག,ྲ,,ོ,ན,
94,ཕྱུགས,,,ཕ,ྱ,,ུ,ག,ས
95,འཛོམས,འ,,ཛ,,,ོ,མ,ས
96,བསྟུན,བ,ས,ཏ,,,ུ,ན,
97,སྤྲིན,,ས,པ,ྲ,,ི,ན,
98,དཔྱོད,ད,,པ,ྱ,,ོ,ད,
99,སྦྱངས,,ས,བ,ྱ,,,ང,ས
100,བཞེངས,བ,,ཞ,,,ེ,ང,ས
101,སྤྲོས,,ས,པ,ྲ,,ོ,ས,
102,སྦྲེལ,,ས,བ,ྲ,,ེ,ལ,
103,རྒྱུག,,ར,ག,ྱ,,ུ,ག,
104,བཟློག,བ,,ཟ,ླ,,ོ,ག,
105,འཁྱོལ,འ,,ཁ,ྱ,,ོ,ལ,
106,བརྟགས,བ,ར,ཏ,,,,ག,ས
107,བརྒྱན,བ,ར,ག,ྱ,,,ན,
108,བགྲོད,བ,,ག,ྲ,,ོ,ད,
109,བསྐུལ,བ,ས,ཀ,,,ུ,ལ,
110,འགྲིམ,འ,,ག,ྲ,,ི,མ,
111,བཅིངས,བ,,ཅ,,,ི,ང,ས
112,འབྲུག,འ,,བ,ྲ,,ུ,ག,
113,འདོགས,འ,,ད,,,ོ,ག,ས
114,འཚོགས,འ,,ཚ,,,ོ,ག,ས
115,དཔྱིད,ད,,པ,ྱ,,ི,ད,
116,འཇོམས,འ,,ཇ,,,ོ,མ,ས
117,བསྲུང,བ,,ས,ྲ,,ུ,ང,
118,མགྲིན,མ,,ག,ྲ,,ི,ན,
119,དབུགས,ད,,བ,,,ུ,ག,ས
120,འབྱིན,འ,,བ,ྱ,,ི,ན,
121,འཁྲུག,འ,,ཁ,ྲ,,ུ,ག,
122,བསྔགས,བ,ས,ང,,,,ག,ས
123,མགྲོན,མ,,ག,ྲ,,ོ,ན,
124,འགྲེམ,འ,,ག,ྲ,,ེ,མ,
125,འཕྲོས,འ,,ཕ,ྲ,,ོ,ས,
126,རྨོངས,,ར,མ,,,ོ,ང,ས
127,དབྱེར,ད,,བ,ྱ,,ེ,ར,
128,འཕྲོག,འ,,ཕ,ྲ,,ོ,ག,
129,འགྲུས,འ,,ག,ྲ,,ུ,ས,
130,བརྗིད,བ,ར,ཇ,,,ི,ད,
131,བརླབས,བ,ར,ལ,,,,བ,ས
132,དགྱེས,ད,,ག,ྱ,,ེ,ས,
133,གཟུངས,ག,,ཟ,,,ུ,ང,ས
134,བགེགས,བ,,ག,,,ེ,ག,ས
135,མཁྲིས,མ,,ཁ,ྲ,,ི,ས,
136,བརྗེད,བ,ར,ཇ,,,ེ,ད,
137,བགྱིས,བ,,ག,ྱ,,ི,ས,
138,འཁྱིལ,འ,,ཁ,ྱ,,ི,ལ,
139,འདོམས,འ,,ད,,,ོ,མ,ས
140,བརྙེས,བ,ར,ཉ,,,ེ,ས,
141,སྙིགས,,ས,ཉ,,,ི,ག,ས
142,སྦྲུལ,,ས,བ,ྲ,,ུ,ལ,
143,དབྱིན,ད,,བ,ྱ,,ི,ན,
144,འགྲིག,འ,,ག,ྲ,,ི,ག,
145,འདེམས,འ,,ད,,,ེ,མ,ས
146,འབྱམས,འ,,བ,ྱ,,,མ,ས
147,ཀྲོའུ,,,,,,,,
148,འགྲོས,འ,,ག,ྲ,,ོ,ས,
149,བགྱིད,བ,,ག,ྱ,,ི,ད,
150,བརྩིས,བ,ར,ཙ,,,ི,ས,
151,གཟེངས,ག,,ཟ,,,ེ,ང,ས
152,སྤུངས,,ས,པ,,,ུ,ང,ས
153,འཁྲིད,འ,,ཁ,ྲ,,ི,ད,
154,འགྲོལ,འ,,ག,ྲ,,ོ,ལ,
155,འདྲིས,འ,,ད,ྲ,,ི,ས,
156,གཏུགས,ག,,ཏ,,,ུ,ག,ས
157,བླུགས,,,བ,ླ,,ུ,ག,ས
158,སྤོབས,,ས,པ,,,ོ,བ,ས
159,བརྐོས,བ,ར,ཀ,,,ོ,ས,
160,བསྲེས,བ,,ས,ྲ,,ེ,ས,
161,འགྱེད,འ,,ག,ྱ,,ེ,ད,
162,འཁྱེར,འ,,ཁ,ྱ,,ེ,ར,
163,གདུགས,ག,,ད,,,ུ,ག,ས
164,དབྱུང,ད,,བ,ྱ,,ུ,ང,
165,བརྟུལ,བ,ར,ཏ,,,ུ,ལ,
166,བསྐྱལ,བ,ས,ཀ,ྱ,,,ལ,
167,བསྣམས,བ,ས,ན,,,,མ,ས
168,གླེགས,,,ག,ླ,,ེ,ག,ས
169,འགྱོད,འ,,ག,ྱ,,ོ,ད,
170,འཁྱུད,འ,,ཁ,ྱ,,ུ,ད,
171,བསྲེག,བ,,ས,ྲ,,ེ,ག,
172,བསྐོས,བ,ས,ཀ,,,ོ,ས,
173,བསྟུད,བ,ས,ཏ,,,ུ,ད,
174,སྐྱུར,,ས,ཀ,ྱ,,ུ,ར,
175,འཕྲེང,འ,,ཕ,ྲ,,ེ,ང,
176,དབྱུག,ད,,བ,ྱ,,ུ,ག,
177,གཡོགས,ག,,ཡ,,,ོ,ག,ས
178,བྱིངས,,,བ,ྱ,,ི,ང,ས
179,བརྐྱང,བ,ར,ཀ,ྱ,,,ང,
180,དཀྱུས,ད,,ཀ,ྱ,,ུ,ས,
181,བསླངས,བ,ས,ལ,,,,ང,ས
182,ཧྥུའུ,,,,,,,,
183,རློབས,,ར,ལ,,,ོ,བ,ས
184,དྲེགས,,,ད,ྲ,,ེ,ག,ས
185,སྦྲགས,,ས,བ,ྲ,,,ག,ས
186,འགུགས,འ,,ག,,,ུ,ག,ས
187,གཙིགས,ག,,ཙ,,,ི,ག,ས
188,ཁྱེའུ,,,,,,,,
189,སྒྲོམ,,ས,ག,ྲ,,ོ,མ,
190,བལྟོས,བ,ལ,ཏ,,,ོ,ས,
191,བསྡམས,བ,ས,ད,,,,མ,ས
